#center_z avg_z center_magnorm_agn avg_magnorm_agn number
0.05 0.082 14.5 14.745 2
0.05 0.093 18.5 18.677 5
0.05 0.086 20.5 20.759 16
0.05 0.085 21.5 21.544 9
0.05 0.096 22.5 22.422 10
0.15 0.139 16.5 16.671 2
0.15 0.128 17.5 17.631 3
0.15 0.175 18.5 18.034 3
0.15 0.124 19.5 19.474 6
0.15 0.149 20.5 20.559 16
0.15 0.158 21.5 21.629 50
0.15 0.153 22.5 22.632 129
0.15 0.165 23.5 23.490 187
0.15 0.187 24.5 24.197 68
0.25 0.217 16.5 16.960 1
0.25 0.240 18.5 18.183 2
0.25 0.239 19.5 19.746 15
0.25 0.246 20.5 20.602 23
0.25 0.256 21.5 21.578 61
0.25 0.249 22.5 22.583 163
0.25 0.252 23.5 23.576 359
0.25 0.253 24.5 24.509 650
0.25 0.280 25.5 25.202 178
0.35 0.355 16.5 16.501 1
0.35 0.326 17.5 17.203 1
0.35 0.355 18.5 18.643 8
0.35 0.350 19.5 19.493 13
0.35 0.347 20.5 20.528 29
0.35 0.345 21.5 21.517 70
0.35 0.352 22.5 22.571 217
0.35 0.350 23.5 23.549 359
0.35 0.346 24.5 24.541 706
0.35 0.354 25.5 25.504 1118
0.35 0.388 26.5 26.108 100
0.45 0.446 17.5 17.327 3
0.45 0.452 18.5 18.607 5
0.45 0.445 19.5 19.654 20
0.45 0.444 20.5 20.549 36
0.45 0.448 21.5 21.547 95
0.45 0.449 22.5 22.542 211
0.45 0.448 23.5 23.537 338
0.45 0.447 24.5 24.532 657
0.45 0.446 25.5 25.543 1220
0.45 0.457 26.5 26.327 1093
0.55 0.510 15.5 15.917 1
0.55 0.540 16.5 16.716 1
0.55 0.545 17.5 17.533 2
0.55 0.534 18.5 18.313 4
0.55 0.537 19.5 19.641 15
0.55 0.560 20.5 20.620 52
0.55 0.548 21.5 21.523 124
0.55 0.549 22.5 22.539 188
0.55 0.549 23.5 23.549 321
0.55 0.547 24.5 24.544 585
0.55 0.548 25.5 25.564 1063
0.55 0.549 26.5 26.539 1831
0.55 0.577 27.5 27.107 332
0.65 0.663 17.5 17.836 2
0.65 0.640 18.5 18.581 4
0.65 0.657 19.5 19.600 25
0.65 0.648 20.5 20.605 67
0.65 0.652 21.5 21.556 129
0.65 0.650 22.5 22.528 206
0.65 0.650 23.5 23.553 305
0.65 0.646 24.5 24.532 469
0.65 0.648 25.5 25.550 871
0.65 0.648 26.5 26.565 1601
0.65 0.657 27.5 27.301 1327
0.75 0.782 17.5 17.972 1
0.75 0.739 18.5 18.560 9
0.75 0.744 19.5 19.583 24
0.75 0.752 20.5 20.551 82
0.75 0.752 21.5 21.543 131
0.75 0.750 22.5 22.530 202
0.75 0.750 23.5 23.514 292
0.75 0.747 24.5 24.551 477
0.75 0.748 25.5 25.552 788
0.75 0.749 26.5 26.542 1488
0.75 0.752 27.5 27.498 2417
0.75 0.790 28.5 28.034 34
0.85 0.871 18.5 18.676 8
0.85 0.854 19.5 19.572 31
0.85 0.852 20.5 20.538 76
0.85 0.850 21.5 21.537 130
0.85 0.847 22.5 22.562 161
0.85 0.851 23.5 23.553 256
0.85 0.848 24.5 24.557 403
0.85 0.846 25.5 25.556 667
0.85 0.850 26.5 26.564 1159
0.85 0.848 27.5 27.551 2290
0.85 0.860 28.5 28.147 830
0.95 0.962 17.5 17.818 1
0.95 0.921 18.5 18.683 6
0.95 0.951 19.5 19.623 28
0.95 0.952 20.5 20.544 71
0.95 0.949 21.5 21.551 132
0.95 0.948 22.5 22.515 178
0.95 0.952 23.5 23.540 268
0.95 0.948 24.5 24.558 351
0.95 0.947 25.5 25.529 563
0.95 0.950 26.5 26.543 1098
0.95 0.948 27.5 27.558 1970
0.95 0.954 28.5 28.298 1818
1.05 1.014 17.5 17.233 1
1.05 1.050 18.5 18.712 9
1.05 1.043 19.5 19.466 32
1.05 1.052 20.5 20.513 79
1.05 1.052 21.5 21.567 103
1.05 1.052 22.5 22.500 130
1.05 1.054 23.5 23.485 201
1.05 1.045 24.5 24.531 370
1.05 1.050 25.5 25.529 541
1.05 1.050 26.5 26.542 961
1.05 1.048 27.5 27.551 1742
1.05 1.052 28.5 28.453 2343
1.15 1.109 17.5 17.598 1
1.15 1.167 18.5 18.548 7
1.15 1.152 19.5 19.551 32
1.15 1.141 20.5 20.548 61
1.15 1.152 21.5 21.598 90
1.15 1.152 22.5 22.553 132
1.15 1.148 23.5 23.511 187
1.15 1.146 24.5 24.538 278
1.15 1.147 25.5 25.575 479
1.15 1.149 26.5 26.561 783
1.15 1.147 27.5 27.555 1470
1.15 1.148 28.5 28.556 2646
1.15 1.173 29.5 29.063 247
1.25 1.240 17.5 17.389 1
1.25 1.251 18.5 18.666 9
1.25 1.253 19.5 19.484 23
1.25 1.245 20.5 20.562 46
1.25 1.251 21.5 21.511 73
1.25 1.253 22.5 22.567 109
1.25 1.248 23.5 23.521 156
1.25 1.250 24.5 24.531 257
1.25 1.248 25.5 25.524 467
1.25 1.247 26.5 26.547 724
1.25 1.249 27.5 27.555 1323
1.25 1.249 28.5 28.562 2341
1.25 1.254 29.5 29.153 1010
1.35 1.349 18.5 18.679 6
1.35 1.351 19.5 19.523 32
1.35 1.343 20.5 20.528 53
1.35 1.342 21.5 21.502 79
1.35 1.353 22.5 22.497 130
1.35 1.349 23.5 23.544 168
1.35 1.348 24.5 24.547 246
1.35 1.346 25.5 25.539 335
1.35 1.350 26.5 26.563 550
1.35 1.348 27.5 27.562 1020
1.35 1.348 28.5 28.540 2011
1.35 1.351 29.5 29.267 1542
1.45 1.461 18.5 18.622 4
1.45 1.437 19.5 19.598 24
1.45 1.446 20.5 20.523 46
1.45 1.446 21.5 21.549 79
1.45 1.446 22.5 22.506 104
1.45 1.448 23.5 23.548 137
1.45 1.446 24.5 24.506 198
1.45 1.448 25.5 25.545 326
1.45 1.446 26.5 26.528 563
1.45 1.446 27.5 27.558 949
1.45 1.449 28.5 28.556 1741
1.45 1.450 29.5 29.376 2041
1.55 1.597 17.5 17.770 1
1.55 1.546 18.5 18.726 7
1.55 1.546 19.5 19.491 14
1.55 1.551 20.5 20.573 44
1.55 1.550 21.5 21.535 61
1.55 1.548 22.5 22.556 70
1.55 1.548 23.5 23.505 145
1.55 1.554 24.5 24.543 191
1.55 1.548 25.5 25.539 324
1.55 1.549 26.5 26.528 488
1.55 1.549 27.5 27.548 884
1.55 1.548 28.5 28.550 1468
1.55 1.552 29.5 29.480 2375
1.65 1.663 17.5 17.794 1
1.65 1.650 19.5 19.664 11
1.65 1.649 20.5 20.603 27
1.65 1.650 21.5 21.535 64
1.65 1.646 22.5 22.517 86
1.65 1.648 23.5 23.515 133
1.65 1.657 24.5 24.509 157
1.65 1.645 25.5 25.547 242
1.65 1.646 26.5 26.562 451
1.65 1.652 27.5 27.547 743
1.65 1.649 28.5 28.532 1321
1.65 1.650 29.5 29.547 2391
1.65 1.674 30.5 30.035 134
1.75 1.709 17.5 17.909 1
1.75 1.789 18.5 18.448 1
1.75 1.745 19.5 19.591 11
1.75 1.752 20.5 20.568 29
1.75 1.750 21.5 21.554 49
1.75 1.740 22.5 22.505 71
1.75 1.750 23.5 23.572 134
1.75 1.750 24.5 24.534 167
1.75 1.747 25.5 25.543 251
1.75 1.749 26.5 26.539 385
1.75 1.750 27.5 27.536 629
1.75 1.747 28.5 28.557 1093
1.75 1.749 29.5 29.544 2116
1.75 1.756 30.5 30.095 608
1.85 1.861 18.5 18.641 5
1.85 1.845 19.5 19.654 7
1.85 1.848 20.5 20.629 25
1.85 1.849 21.5 21.566 47
1.85 1.848 22.5 22.537 62
1.85 1.849 23.5 23.522 94
1.85 1.848 24.5 24.543 141
1.85 1.845 25.5 25.539 233
1.85 1.846 26.5 26.556 359
